# ir	alpha	ctx	bpb
  1	0.05	2	2.39142
  1	0.05	3	2.32205
  1	0.05	4	2.32293
  1	0.05	5	2.32676
  1	0.05	6	2.34278
  1	0.05	7	2.40836
  1	0.05	8	2.65847
  1	0.05	9	3.29453
  1	0.05	10	3.16171
  1	0.05	11	2.58348
  1	0.05	12	2.37986
  1	0.05	13	2.33389
  1	0.05	14	2.32428
  1	0.05	15	2.32241
  1	0.05	16	2.32203
  1	0.05	17	2.32195
  1	0.05	18	2.32193
  1	0.05	19	2.32193
  1	0.05	20	2.32193
