# ir	alpha	ctx	bpb
  0	0.05	2	2.47727
  0	0.05	3	2.29348
  0	0.05	4	2.29511
  0	0.05	5	2.30209
  0	0.05	6	2.33105
  0	0.05	7	2.44579
  0	0.05	8	2.82968
  0	0.05	9	3.26502
  0	0.05	10	2.93652
  0	0.05	11	2.5189
  0	0.05	12	2.36828
  0	0.05	13	2.33189
  0	0.05	14	2.32402
  0	0.05	15	2.32237
  0	0.05	16	2.32203
  0	0.05	17	2.32194
  0	0.05	18	2.32193
  0	0.05	19	2.32193
  0	0.05	20	2.32193
