# ir	alpha	ctx	bpb
  0	0.05	2	2.46778
  0	0.05	3	2.30206
  0	0.05	4	2.30369
  0	0.05	5	2.31071
  0	0.05	6	2.33988
  0	0.05	7	2.45553
  0	0.05	8	2.85033
  0	0.05	9	3.30505
  0	0.05	10	2.92254
  0	0.05	11	2.50068
  0	0.05	12	2.36233
  0	0.05	13	2.33038
  0	0.05	14	2.3237
  0	0.05	15	2.32229
  0	0.05	16	2.32201
  0	0.05	17	2.32194
  0	0.05	18	2.32193
  0	0.05	19	2.32193
  0	0.05	20	2.32193
