# ir	alpha	ctx	bpb
  0	0.05	2	2.47673
  0	0.05	3	2.29472
  0	0.05	4	2.29635
  0	0.05	5	2.30334
  0	0.05	6	2.33241
  0	0.05	7	2.44723
  0	0.05	8	2.83288
  0	0.05	9	3.27146
  0	0.05	10	2.93412
  0	0.05	11	2.51592
  0	0.05	12	2.36749
  0	0.05	13	2.33166
  0	0.05	14	2.32394
  0	0.05	15	2.32237
  0	0.05	16	2.32203
  0	0.05	17	2.32195
  0	0.05	18	2.32193
  0	0.05	19	2.32193
  0	0.05	20	2.32193
