# mut	min_bpb
  1	2.32193
  2	2.32193
  3	2.32193
  4	2.32193
  5	2.32193
  6	2.32179
  7	2.32157
  8	2.32131
  9	2.32103
  10	2.32071
  11	2.32034
  12	2.31995
  13	2.31954
  14	2.31907
  15	2.31862
  16	2.31807
  17	2.3175
  18	2.31692
  19	2.31631
  20	2.31567
  21	2.31496
  22	2.3142
  23	2.3135
  24	2.31267
  25	2.31187
  26	2.31104
  27	2.3101
  28	2.30927
  29	2.30828
  30	2.30729
  31	2.30636
  32	2.30523
  33	2.30425
  34	2.30312
  35	2.30206
  36	2.3009
  37	2.29976
  38	2.29859
  39	2.29726
  40	2.29607
  41	2.29472
  42	2.29348
  43	2.29288
  44	2.29206
  45	2.29092
  46	2.28951
  47	2.28807
  48	2.2866
  49	2.28497
  50	2.28345
