# ir	alpha	ctx	bpb
  0	0.05	2	2.35477
  0	0.05	3	2.3224
  0	0.05	4	2.32405
  0	0.05	5	2.33112
  0	0.05	6	2.36061
  0	0.05	7	2.47855
  0	0.05	8	2.89994
  0	0.05	9	3.40766
  0	0.05	10	2.86998
  0	0.05	11	2.46084
  0	0.05	12	2.35116
  0	0.05	13	2.32787
  0	0.05	14	2.3231
  0	0.05	15	2.32216
  0	0.05	16	2.32197
  0	0.05	17	2.32194
  0	0.05	18	2.32193
  0	0.05	19	2.32193
  0	0.05	20	2.32193
