# ir	alpha	ctx	bpb
  1	0.05	2	2.48774
  1	0.05	3	2.31905
  1	0.05	4	2.30156
  1	0.05	5	2.30534
  1	0.05	6	2.32116
  1	0.05	7	2.38552
  1	0.05	8	2.6273
  1	0.05	9	3.17675
  1	0.05	10	3.15788
  1	0.05	11	2.6457
  1	0.05	12	2.40246
  1	0.05	13	2.33924
  1	0.05	14	2.32563
  1	0.05	15	2.32269
  1	0.05	16	2.32209
  1	0.05	17	2.32195
  1	0.05	18	2.32194
  1	0.05	19	2.32193
  1	0.05	20	2.32193
