# ir	alpha	ctx	bpb
  1	0.05	2	2.46565
  1	0.05	3	2.3205
  1	0.05	4	2.32138
  1	0.05	5	2.3252
  1	0.05	6	2.34119
  1	0.05	7	2.40666
  1	0.05	8	2.65618
  1	0.05	9	3.28499
  1	0.05	10	3.16361
  1	0.05	11	2.58778
  1	0.05	12	2.38119
  1	0.05	13	2.33411
  1	0.05	14	2.32434
  1	0.05	15	2.32243
  1	0.05	16	2.32204
  1	0.05	17	2.32196
  1	0.05	18	2.32194
  1	0.05	19	2.32193
  1	0.05	20	2.32193
